code,description
323,"Fabricación de artículos y equipo para la práctica del deporte"
324,"Fabricación de juegos, juguetes y rompecabezas"
325,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)"
329,"Otras industrias manufactureras n.c.p."
331,"Mantenimiento y reparación especializado de productos elaborados en metal y de maquinaria y equipo"
332,"Instalación especializada de maquinaria y equipo industrial"
351,"Generación, transmisión, distribución y comercialización de energía eléctrica"
352,"Producción de gas; distribución de combustibles gaseosos por tuberías"
353,"Suministro de vapor y aire acondicionado"
360,"Captación, tratamiento y distribución de agua"
370,"Evacuación y tratamiento de aguas residuales"
381,"Recolección de desechos"
382,"Tratamiento y disposición de desechos"
383,"Recuperación de materiales"
390,"Actividades de saneamiento ambiental y otros servicios de gestión de desechos"
411,"Construcción de edificios"
421,"Construcción de carreteras y vías de ferrocarril"
422,"Construcción de proyectos de servicio público"
429,"Construcción de otras obras de ingeniería civil"
431,"Demolición y preparación del terreno"
432,"Instalaciones eléctricas, de fontanería y otras instalaciones especializadas"
433,"Terminación y acabado de edificios y obras de ingeniería civil"
439,"Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil"
451,"Comercio de vehículos automotores"
452,"Mantenimiento y reparación de vehículos automotores"
453,"Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
454,"Comercio, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios"
461,"Comercio al por mayor a cambio de una retribución o por contrata"
462,"Comercio al por mayor de materias primas agropecuarias; animales vivos"
463,"Comercio al por mayor de alimentos, bebidas y tabaco"
464,"Comercio al por mayor de artículos y enseres domésticos (incluidas prendas de vestir)"
465,"Comercio al por mayor de maquinaria y equipo"
466,"Comercio al por mayor especializado de otros productos"
469,"Comercio al por mayor no especializado"
471,"Comercio al por menor en establecimientos no especializados"
472,"Comercio al por menor de alimentos (víveres en general), bebidas y tabaco, en establecimientos especializados"
473,"Comercio al por menor de combustible, lubricantes, aditivos y productos de limpieza para automotores, en establecimientos especializados"
474,"Comercio al por menor de equipos de informática y de comunicaciones, en establecimientos especializados"
475,"Comercio al por menor de otros enseres domésticos en establecimientos especializados"
476,"Comercio al por menor de artículos culturales y de entretenimiento, en establecimientos especializados"
477,"Comercio al por menor de otros productos en establecimientos especializados"
478,"Comercio al por menor en puestos de venta móviles"
479,"Comercio al por menor no realizado en establecimientos, puestos de venta o mercados"
491,"Transporte férreo"
492,"Transporte terrestre público automotor"
493,"Transporte por tuberías"
501,"Transporte marítimo y de cabotaje"
502,"Transporte fluvial"
511,"Transporte aéreo de pasajeros"
512,"Transporte aéreo de carga"
521,"Almacenamiento y depósito"
522,"Actividades de las estaciones, vías y servicios complementarios para el transporte"
531,"Actividades postales nacionales"
532,"Actividades de mensajería"
551,"Actividades de alojamiento de estancias cortas"
552,"Actividades de zonas de camping y parques para vehículos recreacionales"
553,"Servicio por horas"
559,"Otros tipos de alojamiento n.c.p."
561,"Actividades de restaurantes, cafeterías y servicio móvil de comidas"
562,"Actividades de catering para eventos y otros servicios de comidas"
563,"Expendio de bebidas alcohólicas para el consumo dentro del establecimiento"
581,"Edición de libros, publicaciones periódicas y otras actividades de edición"
582,"Edición de programas de informática (software)"
591,"Actividades de producción de películas cinematográficas, video y producción de programas, anuncios y comerciales de televisión"
592,"Actividades de grabación de sonido y edición de música"
601,"Actividades de programación y transmisión en el servicio de radiodifusión sonora"
602,"Actividades de programación y transmisión de televisión"
611,"Actividades de telecomunicaciones alámbricas"
612,"Actividades de telecomunicaciones inalámbricas"
613,"Actividades de telecomunicación satelital"
619,"Otras actividades de telecomunicaciones"
620,"Desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas), consultoría informática y actividades relacionadas"
631,"Procesamiento de datos, alojamiento (hosting) y actividades relacionadas; portales web"
639,"Otras actividades de servicio de información"
641,"Intermediación monetaria"
642,"Otros tipos de intermediación monetaria"
643,"Fideicomisos, fondos (incluye fondos de cesantías) y entidades financieras similares"
649,"Otras actividades de servicio financiero, excepto las de seguros y pensiones"
651,"Seguros y capitalización"
652,"Servicios de seguros sociales de salud y riesgos profesionales"
653,"Servicios de seguros sociales de pensiones"
661,"Actividades auxiliares de las actividades de servicios financieros, excepto las de seguros y pensiones"
662,"Actividades de servicios auxiliares de los servicios de seguros y pensiones"
663,"Actividades de administración de fondos"
681,"Actividades inmobiliarias realizadas con bienes propios o arrendados"
682,"Actividades inmobiliarias realizadas a cambio de una retribución o por contrata"
691,"Actividades jurídicas"
692,"Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria"
701,"Actividades de administración empresarial"
702,"Actividades de consultaría de gestión"
711,"Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica"
712,"Ensayos y análisis técnicos"
721,"Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería"
722,"Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades"
731,"Publicidad"
732,"Estudios de mercado y realización de encuestas de opinión pública"
741,"Actividades especializadas de diseño"
742,"Actividades de fotografía"
749,"Otras actividades profesionales, científicas y técnicas n.c.p."
750,"Actividades veterinarias"
771,"Alquiler y arrendamiento de vehículos automotores"
772,"Alquiler y arrendamiento de efectos personales y enseres domésticos"
773,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p."
774,"Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor"
781,"Actividades de agencias de empleo"
782,"Actividades de agencias de empleo temporal"
783,"Otras actividades de suministro de recurso humano"
791,"Actividades de las agencias de viajes y operadores turísticos"
799,"Otros servicios de reserva y actividades relacionadas"
801,"Actividades de seguridad privada"
802,"Actividades de servicios de sistemas de seguridad"
803,"Actividades de detectives e investigadores privados"
811,"Actividades combinadas de apoyo a instalaciones"
812,"Actividades de limpieza"
813,"Actividades de paisajismo y servicios de mantenimiento conexos"
821,"Actividades administrativas y de apoyo de oficina"
822,"Actividades de centros de llamadas (Call center)"
823,"Organización de convenciones y eventos comerciales"
829,"Actividades de servicios de apoyo a las empresas n.c.p."
841,"Administración del Estado y aplicación de la política económica y social de la comunidad"
842,"Prestación de servicios a la comunidad en general"
843,"Actividades de planes de seguridad social de afiliación obligatoria"
851,"Educación de la primera infancia, preescolar y básica primaria"
852,"Educación secundaria y de formación laboral"
853,"Establecimientos que combinan diferentes niveles de educación"
854,"Educación superior"
855,"Otros tipos de educación"
856,"Actividades de apoyo a la educación"
861,"Actividades de hospitales y clínicas, con internación"
862,"Actividades de práctica médica y odontológica, sin internación"
869,"Otras actividades de atención relacionadas con la salud humana"
871,"Actividades de atención residencial medicalizada de tipo general"
872,"Actividades de atención residencial, para el cuidado de pacientes con retardo mental, enfermedad mental y consumo de sustancias psicoactivas"
873,"Actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas"
879,"Otras actividades de atención en instituciones con alojamiento"
881,"Actividades de asistencia social sin alojamiento para personas mayores y discapacitadas"
889,"Otras actividades de asistencia social sin alojamiento"
900,"Actividades creativas, artísticas y de entretenimiento"
910,"Actividades de bibliotecas, archivos, museos y otras actividades culturales"
920,"Actividades de juegos de azar y apuestas"
931,"Actividades deportivas"
932,"Otras actividades recreativas y de esparcimiento"
941,"Actividades de asociaciones empresariales y de empleadores,"
942,"Actividades de sindicatos de empleados"
949,"Actividades de otras asociaciones"
951,"Mantenimiento y reparación de computadores y equipo de comunicaciones"
952,"Mantenimiento y reparación de efectos personales y enseres domésticos"
960,"Otras actividades de servicios personales"
970,"Actividades de los hogares individuales como empleadores de personal doméstico"
981,"Actividades no diferenciadas de los hogares individuales como productores de bienes para uso propio"
982,"Actividades no diferenciadas de los hogares individuales como productores de servicios para uso propio"
990,"Actividades de organizaciones y entidades extraterritoriales"
